kind,verb,count
missing_candidate,scambiata:scambiare,2
missing_candidate,scano:scano,2
missing_candidate,scomoda:scomodare,2
missing_candidate,scriva:scrire,2
missing_candidate,scugier:scugierre,2
missing_candidate,sedere:sedere,2
missing_candidate,sennò:sennòe,2
missing_candidate,servi:sere vi,2
missing_candidate,setti:setto,2
missing_candidate,so':so',2
missing_candidate,son:son,2
missing_candidate,spogli:spogli,2
missing_candidate,staju:staju,2
missing_candidate,star:star,2
missing_candidate,stiede:stiedere,2
missing_candidate,stra-:stra-,2
missing_candidate,tempu:tempu,2
missing_candidate,tici:ticare,2
missing_candidate,tolesse:tolere,2
missing_candidate,tolse:togliere,2
missing_candidate,tornu:tornu,2
missing_candidate,tradite:tradito,2
missing_candidate,trovasse:trovare,2
missing_candidate,tuta:tere,2
missing_candidate,tuto:tuto,2
missing_candidate,usa:usare,2
missing_candidate,vago:vago,2
missing_candidate,vanchi:vanco,2
missing_candidate,vardar:vardar,2
missing_candidate,vardasse:vardasse,2
missing_candidate,vediamo:vedere,2
missing_candidate,vedova:vedovare,2
missing_candidate,vedova:vedovo,2
missing_candidate,vedovo:vedovo,2
missing_candidate,vegnàrà:vegnàràre,2
missing_candidate,vengo:vengare,2
missing_candidate,veniva:venire,2
missing_candidate,venuta:venire,2
missing_candidate,vesta:vesta,2
missing_candidate,veste:vestire,2
missing_candidate,videro:videro,2
missing_candidate,vitti:vitti,2
missing_candidate,vogghiu:vogghiu,2
missing_candidate,vol:vol,2
missing_candidate,volle:volle,2
missing_candidate,vorrebbe:volere,2
missing_candidate,-senare:-senare,1
missing_candidate,.tutta:.tutta,1
missing_candidate,Al-:al-,1
missing_candidate,Andiamo:andiamo,1
missing_candidate,CATARINA·LA:catarina·la,1
missing_candidate,Chiama:chiama,1
missing_candidate,Chiamò:chiamare,1
missing_candidate,Dio.</sp:dio.</sp,1
missing_candidate,Fa</sp>-:fa</sp>-,1
missing_candidate,Fece:fece,1
missing_candidate,Finito:finito,1
missing_candidate,Giera:giera,1
missing_candidate,Pensate:pensate,1
missing_candidate,Raccontata:raccontata,1
missing_candidate,Spir-:spir-,1
missing_candidate,Tornano:tornano,1
missing_candidate,Tornarono:tornarono,1
missing_candidate,Vattene:vattene,1
missing_candidate,Veniva:veniva,1
missing_candidate,a-:a-,1
missing_candidate,a</sp:a</sp,1
missing_candidate,abiti:abire,1
missing_candidate,abiti:abito,1
missing_candidate,accattatu:accattature,1
missing_candidate,accompagnava:accompagnare,1
missing_candidate,affidarono:affidare,1
missing_candidate,aiutare:aiutare,1
missing_candidate,allontanarsi:allontanare si,1
missing_candidate,alzane:alzane,1
missing_candidate,alzò:alzò,1
